id;email_address;cc_email_address;subject;status;date_created;date_sent
1;Tools embrace;Handcrafted Granite Soap Global mission-critical;engineer;SENT;2020-09-25T19:34:28;2020-09-26T00:49:01
2;Burgs Concrete;Enterprise-wide Romania;Associate;PROCESSING;2020-09-26T06:37:17;2020-09-25T18:36:24
3;Toys;adapter e-enable;connecting Mouse;FAILED;2020-09-25T18:48:06;2020-09-25T16:45:45
4;Plains Licensed;one-to-one Implementation;Refined Ball;PROCESSING;2020-09-26T02:12:01;2020-09-26T00:54:05
5;International Producer black;Fantastic;Passage global;INITIATED;2020-09-26T07:55:33;2020-09-26T02:47:22
6;connect;invoice Bedfordshire;ivory Frozen;INITIATED;2020-09-26T00:59:28;2020-09-26T01:00:47
7;Pitcairn Islands navigate;architecture;programming;INITIATED;2020-09-25T15:52:28;2020-09-26T05:51:47
8;matrix Forward Parkway;Shoes Knolls Massachusetts;Architect Jordanian Dinar Bolivar Fuerte;PROCESSING;2020-09-25T15:45:15;2020-09-25T15:37:56
9;mission-critical withdrawal;invoice;Inverse;FAILED;2020-09-26T03:02:46;2020-09-26T02:14:02
10;Tunnel New Hampshire;solid state Group copying;PNG program;SENT;2020-09-26T11:58:29;2020-09-26T02:31:40
