id;phone_number;message;status;date_created;date_sent
1;Fresh plum;Ergonomic Rubber Sausages Sleek Fresh Chips Berkshire;SENT;2020-09-26T09:38:40;2020-09-25T19:46:08
2;CSS Generic Metal Gloves;Checking Account;SENT;2020-09-26T08:21:27;2020-09-26T12:53:06
3;end-to-end Sleek PCI;user-centric;INITIATED;2020-09-26T10:20:39;2020-09-26T12:52:10
4;interface;world-class SDD Business-focused;SENT;2020-09-26T05:44:45;2020-09-25T16:19:04
5;Manager;deposit purple Automotive;SENT;2020-09-26T08:26:40;2020-09-25T15:35:31
6;CSS auxiliary Tools;iterate Ergonomic;INITIATED;2020-09-25T20:22:02;2020-09-25T13:52:58
7;Alaska;indexing open-source;FAILED;2020-09-25T17:43:18;2020-09-26T12:54:50
8;transmitter;Corporate Functionality zero administration;FAILED;2020-09-25T16:50:40;2020-09-26T00:40:52
9;override;experiences;PROCESSING;2020-09-26T08:19:48;2020-09-25T14:36:13
10;methodologies;Chair leading-edge;SENT;2020-09-25T22:58:40;2020-09-25T16:36:02
